,start,end,pattern
54,2020-08-07 13:35:00,2020-08-07 14:50:00,Double Bottom
55,2020-08-17 11:35:00,2020-08-17 13:10:00,Double Top
56,2020-08-20 12:00:00,2020-08-20 14:05:00,Head and shoulders
57,2020-08-26 09:50:00,2020-08-26 11:50:00,Reverse Head and shoulders
58,2020-09-03 12:35:00,2020-09-03 13:55:00,Double Top
59,2020-09-08 12:10:00,2020-09-08 13:25:00,Double Top
60,2020-09-11 09:55:00,2020-09-11 12:05:00,Head and shoulders
61,2020-09-17 12:15:00,2020-09-17 13:35:00,Double Bottom
62,2020-09-22 11:45:00,2020-09-22 12:50:00,Double Bottom
63,2020-09-23 12:50:00,2020-09-23 14:45:00,Head and shoulders
64,2020-09-25 12:05:00,2020-09-25 14:15:00,Head and shoulders
65,2020-10-05 12:45:00,2020-10-05 14:30:00,Reverse Head and shoulders
66,2020-10-06 10:35:00,2020-10-06 12:25:00,Head and shoulders
67,2020-10-19 10:30:00,2020-10-19 12:35:00,Head and shoulders
68,2020-10-27 12:00:00,2020-10-27 13:55:00,Reverse Head and shoulders
69,2020-11-02 10:00:00,2020-11-02 11:15:00,Double Top
70,2020-11-06 10:05:00,2020-11-06 11:50:00,Head and shoulders
71,2020-11-10 10:55:00,2020-11-10 12:10:00,Double Bottom
72,2020-11-13 11:05:00,2020-11-13 12:35:00,Double Top
73,2020-11-17 12:00:00,2020-11-17 13:05:00,Double Top
74,2020-11-27 12:30:00,2020-11-27 13:45:00,Double Bottom
75,2020-11-30 12:00:00,2020-11-30 13:45:00,Head and shoulders
76,2020-12-01 13:00:00,2020-12-01 14:45:00,Head and shoulders
77,2020-12-04 10:10:00,2020-12-04 11:40:00,Double Bottom
78,2020-12-09 10:35:00,2020-12-09 12:35:00,Reverse Head and shoulders
79,2020-12-22 12:35:00,2020-12-22 14:00:00,Double Bottom
80,2020-12-23 10:40:00,2020-12-23 12:10:00,Double Top
81,2020-12-24 10:05:00,2020-12-24 12:20:00,Reverse Head and shoulders
82,2020-12-25 12:00:00,2020-12-25 13:25:00,Double Top
83,2020-12-30 11:20:00,2020-12-30 13:05:00,Head and shoulders
84,2020-12-31 11:05:00,2020-12-31 12:55:00,Reverse Head and shoulders
85,2021-01-05 10:40:00,2021-01-05 11:50:00,Double Top
86,2021-01-12 12:35:00,2021-01-12 13:45:00,Double Bottom
87,2021-01-18 10:45:00,2021-01-18 12:45:00,Reverse Head and shoulders
88,2021-01-21 12:40:00,2021-01-21 14:25:00,Head and shoulders
89,2021-01-29 12:15:00,2021-01-29 13:30:00,Double Bottom
90,2021-02-02 13:00:00,2021-02-02 14:15:00,Double Top
91,2021-02-08 11:40:00,2021-02-08 12:55:00,Double Top
92,2021-02-17 13:00:00,2021-02-17 14:25:00,Double Top
93,2021-03-02 10:05:00,2021-03-02 11:40:00,Head and shoulders
94,2021-03-22 10:35:00,2021-03-22 12:50:00,Head and shoulders
95,2021-03-25 12:00:00,2021-03-25 13:25:00,Double Bottom
96,2021-03-26 11:15:00,2021-03-26 13:00:00,Head and shoulders
97,2021-03-29 12:20:00,2021-03-29 13:45:00,Double Bottom
98,2021-03-30 10:05:00,2021-03-30 12:05:00,Head and shoulders
99,2021-03-31 10:50:00,2021-03-31 12:55:00,Reverse Head and shoulders
100,2021-04-02 12:55:00,2021-04-02 14:45:00,Head and shoulders
101,2021-04-15 11:45:00,2021-04-15 12:55:00,Double Top
102,2021-04-29 12:40:00,2021-04-29 14:50:00,Reverse Head and shoulders
103,2021-04-30 12:25:00,2021-04-30 14:25:00,Head and shoulders
104,2021-05-07 10:45:00,2021-05-07 12:45:00,Head and shoulders
105,2021-05-10 12:40:00,2021-05-10 14:40:00,Head and shoulders
106,2021-05-12 12:40:00,2021-05-12 14:00:00,Double Top
107,2021-05-13 12:40:00,2021-05-13 14:45:00,Reverse Head and shoulders
108,2021-05-17 12:05:00,2021-05-17 14:10:00,Reverse Head and shoulders
109,2021-05-18 11:00:00,2021-05-18 12:40:00,Head and shoulders
110,2021-05-19 10:00:00,2021-05-19 11:10:00,Double Top
111,2021-05-20 11:25:00,2021-05-20 13:30:00,Head and shoulders
112,2021-05-26 12:10:00,2021-05-26 13:15:00,Double Top
113,2021-06-02 11:20:00,2021-06-02 13:25:00,Head and shoulders
114,2021-06-04 12:05:00,2021-06-04 13:35:00,Double Top
115,2021-06-07 10:20:00,2021-06-07 12:20:00,Reverse Head and shoulders
116,2021-06-08 10:10:00,2021-06-08 11:30:00,Double Top
117,2021-06-14 10:40:00,2021-06-14 12:10:00,Double Bottom
118,2021-07-01 10:40:00,2021-07-01 12:50:00,Reverse Head and shoulders
119,2021-07-05 11:35:00,2021-07-05 13:00:00,Double Top
120,2021-07-09 10:15:00,2021-07-09 12:05:00,Reverse Head and shoulders
121,2021-07-19 11:25:00,2021-07-19 13:30:00,Reverse Head and shoulders
122,2021-07-21 10:30:00,2021-07-21 11:45:00,Double Top
123,2021-07-26 12:40:00,2021-07-26 14:40:00,Head and shoulders
124,2021-07-28 10:35:00,2021-07-28 12:10:00,Double Top
125,2021-07-30 09:55:00,2021-07-30 11:15:00,Double Top
126,2021-08-02 11:50:00,2021-08-02 13:45:00,Reverse Head and shoulders
127,2021-08-03 10:25:00,2021-08-03 12:35:00,Reverse Head and shoulders
128,2021-08-06 12:20:00,2021-08-06 14:30:00,Head and shoulders
129,2021-08-16 10:20:00,2021-08-16 12:15:00,Head and shoulders
130,2021-08-17 10:30:00,2021-08-17 11:40:00,Double Top
131,2021-08-18 11:30:00,2021-08-18 13:30:00,Reverse Head and shoulders
132,2021-08-24 10:20:00,2021-08-24 11:45:00,Double Bottom
133,2021-08-25 12:50:00,2021-08-25 14:45:00,Head and shoulders
134,2021-08-26 10:10:00,2021-08-26 11:15:00,Double Top
135,2021-08-30 10:05:00,2021-08-30 11:25:00,Double Top
136,2021-09-01 11:30:00,2021-09-01 13:30:00,Head and shoulders
137,2021-09-02 10:55:00,2021-09-02 12:25:00,Double Top
138,2021-09-08 09:50:00,2021-09-08 11:45:00,Reverse Head and shoulders
139,2021-09-09 10:35:00,2021-09-09 11:40:00,Double Bottom
140,2021-09-10 10:25:00,2021-09-10 11:40:00,Double Bottom
141,2021-09-15 11:35:00,2021-09-15 13:30:00,Head and shoulders
142,2021-09-16 12:45:00,2021-09-16 14:50:00,Reverse Head and shoulders
143,2021-09-27 11:25:00,2021-09-27 12:55:00,Double Bottom
144,2021-09-29 12:40:00,2021-09-29 13:55:00,Double Top
145,2021-10-12 11:00:00,2021-10-12 12:55:00,Reverse Head and shoulders
146,2021-10-22 11:10:00,2021-10-22 12:35:00,Double Top
147,2021-10-25 10:40:00,2021-10-25 12:00:00,Double Bottom
148,2021-10-27 12:15:00,2021-10-27 14:10:00,Head and shoulders
149,2021-10-28 12:15:00,2021-10-28 14:15:00,Reverse Head and shoulders
150,2021-11-02 11:40:00,2021-11-02 13:45:00,Reverse Head and shoulders
151,2021-11-10 10:15:00,2021-11-10 11:30:00,Double Top
152,2021-11-18 12:05:00,2021-11-18 14:15:00,Reverse Head and shoulders
153,2021-11-26 12:35:00,2021-11-26 13:50:00,Double Top
154,2021-12-01 11:45:00,2021-12-01 13:50:00,Head and shoulders
155,2021-12-06 11:05:00,2021-12-06 12:15:00,Double Top
156,2021-12-17 12:15:00,2021-12-17 13:30:00,Double Top
157,2021-12-24 09:55:00,2021-12-24 11:30:00,Reverse Head and shoulders
158,2021-12-30 10:40:00,2021-12-30 12:55:00,Reverse Head and shoulders
159,2022-01-03 12:55:00,2022-01-03 14:10:00,Double Bottom
160,2022-01-06 11:55:00,2022-01-06 13:15:00,Double Bottom
161,2022-01-14 09:45:00,2022-01-14 11:55:00,Head and shoulders
162,2022-01-20 10:30:00,2022-01-20 11:55:00,Double Top
163,2022-01-24 12:55:00,2022-01-24 14:50:00,Head and shoulders
164,2022-01-27 11:10:00,2022-01-27 13:15:00,Head and shoulders
165,2022-02-01 09:45:00,2022-02-01 11:25:00,Head and shoulders
166,2022-02-08 13:20:00,2022-02-08 14:35:00,Double Bottom
167,2022-02-11 12:35:00,2022-02-11 14:20:00,Head and shoulders
168,2022-02-23 12:20:00,2022-02-23 14:15:00,Head and shoulders
169,2022-03-01 11:25:00,2022-03-01 13:05:00,Reverse Head and shoulders
170,2022-03-07 10:30:00,2022-03-07 12:50:00,Head and shoulders
171,2022-03-09 10:45:00,2022-03-09 12:40:00,Reverse Head and shoulders
172,2022-03-10 12:25:00,2022-03-10 13:40:00,Double Bottom
173,2022-03-17 12:55:00,2022-03-17 14:45:00,Reverse Head and shoulders
174,2022-03-18 12:25:00,2022-03-18 14:25:00,Head and shoulders
175,2022-03-23 09:45:00,2022-03-23 11:40:00,Reverse Head and shoulders
176,2022-03-24 10:55:00,2022-03-24 12:15:00,Double Top
177,2022-03-25 11:15:00,2022-03-25 13:15:00,Head and shoulders
178,2022-04-04 11:55:00,2022-04-04 14:05:00,Reverse Head and shoulders
179,2022-04-11 12:40:00,2022-04-11 14:35:00,Head and shoulders
180,2022-04-13 11:20:00,2022-04-13 13:15:00,Reverse Head and shoulders
181,2022-04-28 10:20:00,2022-04-28 11:35:00,Double Top
182,2022-04-29 10:50:00,2022-04-29 12:05:00,Double Bottom
183,2022-05-17 12:15:00,2022-05-17 13:40:00,Double Top
184,2022-05-23 13:15:00,2022-05-23 14:35:00,Double Top
185,2022-05-26 10:20:00,2022-05-26 11:40:00,Double Bottom
186,2022-05-30 12:15:00,2022-05-30 14:20:00,Head and shoulders
187,2022-05-31 11:45:00,2022-05-31 14:00:00,Head and shoulders
188,2022-06-06 11:35:00,2022-06-06 13:30:00,Reverse Head and shoulders
189,2022-06-13 11:15:00,2022-06-13 13:05:00,Head and shoulders
190,2022-06-29 09:50:00,2022-06-29 11:20:00,Double Bottom
191,2022-06-30 10:55:00,2022-06-30 12:55:00,Reverse Head and shoulders
192,2022-07-07 11:40:00,2022-07-07 12:55:00,Double Top
193,2022-07-20 11:35:00,2022-07-20 13:35:00,Head and shoulders
194,2022-07-28 11:20:00,2022-07-28 13:25:00,Reverse Head and shoulders
195,2022-08-01 12:40:00,2022-08-01 14:00:00,Double Top
196,2022-08-03 10:45:00,2022-08-03 12:40:00,Head and shoulders
197,2022-08-08 11:05:00,2022-08-08 12:55:00,Reverse Head and shoulders
198,2022-08-10 11:40:00,2022-08-10 13:35:00,Head and shoulders
199,2022-08-12 10:30:00,2022-08-12 12:15:00,Head and shoulders
200,2022-08-18 10:25:00,2022-08-18 11:55:00,Double Top
201,2022-08-19 12:45:00,2022-08-19 14:50:00,Head and shoulders
202,2022-08-26 12:00:00,2022-08-26 14:00:00,Reverse Head and shoulders
203,2022-08-31 11:55:00,2022-08-31 13:55:00,Reverse Head and shoulders
204,2022-09-01 11:25:00,2022-09-01 13:15:00,Head and shoulders
205,2022-09-22 12:20:00,2022-09-22 13:50:00,Double Bottom
206,2022-10-11 10:30:00,2022-10-11 11:50:00,Double Bottom
207,2022-10-12 10:35:00,2022-10-12 12:30:00,Reverse Head and shoulders
208,2022-10-17 10:45:00,2022-10-17 12:10:00,Double Top
209,2022-10-27 11:40:00,2022-10-27 13:45:00,Head and shoulders
210,2022-11-07 11:40:00,2022-11-07 13:35:00,Head and shoulders
211,2022-11-09 12:30:00,2022-11-09 14:30:00,Head and shoulders
212,2022-11-15 10:50:00,2022-11-15 12:20:00,Double Top
213,2022-11-24 11:45:00,2022-11-24 13:05:00,Double Bottom
214,2022-12-05 10:00:00,2022-12-05 11:15:00,Double Bottom
215,2022-12-13 12:20:00,2022-12-13 14:20:00,Head and shoulders
216,2022-12-16 10:50:00,2022-12-16 12:00:00,Double Bottom
217,2022-12-21 11:45:00,2022-12-21 12:50:00,Double Top
218,2022-12-22 12:40:00,2022-12-22 14:20:00,Reverse Head and shoulders
219,2022-12-23 11:05:00,2022-12-23 13:10:00,Reverse Head and shoulders
220,2022-12-26 11:45:00,2022-12-26 13:40:00,Head and shoulders
221,2022-12-27 09:55:00,2022-12-27 11:10:00,Double Top
222,2022-12-28 11:15:00,2022-12-28 13:05:00,Head and shoulders
223,2022-12-29 12:50:00,2022-12-29 14:50:00,Head and shoulders
224,2023-01-03 11:20:00,2023-01-03 13:05:00,Reverse Head and shoulders
225,2023-01-06 10:50:00,2023-01-06 12:50:00,Reverse Head and shoulders
226,2023-01-12 10:55:00,2023-01-12 12:45:00,Reverse Head and shoulders
227,2023-01-13 12:35:00,2023-01-13 14:00:00,Double Top
228,2023-01-18 12:00:00,2023-01-18 13:45:00,Head and shoulders
229,2023-01-20 13:10:00,2023-01-20 14:35:00,Double Bottom
230,2023-01-23 09:55:00,2023-01-23 11:20:00,Double Top
231,2023-01-24 10:30:00,2023-01-24 12:20:00,Reverse Head and shoulders
232,2023-01-26 10:55:00,2023-01-26 12:20:00,Double Bottom
233,2023-01-30 11:30:00,2023-01-30 12:45:00,Double Top
234,2023-02-06 12:25:00,2023-02-06 14:20:00,Head and shoulders
235,2023-02-14 10:05:00,2023-02-14 11:15:00,Double Bottom
236,2023-02-16 10:20:00,2023-02-16 12:20:00,Reverse Head and shoulders
237,2023-02-20 12:15:00,2023-02-20 13:40:00,Double Top
238,2023-02-22 11:00:00,2023-02-22 12:50:00,Reverse Head and shoulders
239,2023-02-24 11:25:00,2023-02-24 12:25:00,Double Bottom
240,2023-03-02 12:25:00,2023-03-02 14:25:00,Head and shoulders
241,2023-03-03 12:25:00,2023-03-03 13:45:00,Double Top
242,2023-03-13 11:40:00,2023-03-13 13:10:00,Double Bottom
243,2023-03-15 12:55:00,2023-03-15 14:20:00,Double Top
244,2023-03-17 11:35:00,2023-03-17 13:20:00,Reverse Head and shoulders
245,2023-03-20 12:30:00,2023-03-20 14:00:00,Double Top
246,2023-03-22 13:00:00,2023-03-22 14:55:00,Head and shoulders
247,2023-03-23 13:40:00,2023-03-23 14:50:00,Double Top
248,2023-03-24 13:00:00,2023-03-24 14:15:00,Double Top
249,2023-03-28 12:30:00,2023-03-28 13:45:00,Double Bottom
250,2023-03-29 11:50:00,2023-03-29 14:05:00,Head and shoulders
251,2023-04-05 11:20:00,2023-04-05 12:20:00,Double Top
252,2023-04-06 10:10:00,2023-04-06 11:25:00,Double Top
253,2023-04-21 10:05:00,2023-04-21 11:30:00,Double Bottom
254,2023-04-25 10:55:00,2023-04-25 12:50:00,Reverse Head and shoulders
255,2023-05-03 12:40:00,2023-05-03 14:05:00,Double Bottom
256,2023-05-04 11:20:00,2023-05-04 13:25:00,Reverse Head and shoulders
257,2023-05-10 11:25:00,2023-05-10 12:50:00,Double Top
258,2023-05-12 12:35:00,2023-05-12 14:35:00,Head and shoulders
259,2023-05-16 10:05:00,2023-05-16 11:10:00,Double Top
260,2023-05-17 10:00:00,2023-05-17 12:10:00,Head and shoulders
261,2023-05-18 13:45:00,2023-05-18 14:55:00,Double Top
262,2023-05-19 10:25:00,2023-05-19 12:30:00,Head and shoulders
263,2023-05-23 10:20:00,2023-05-23 11:30:00,Double Top
264,2023-05-25 11:25:00,2023-05-25 13:15:00,Head and shoulders
265,2023-06-05 13:00:00,2023-06-05 14:55:00,Reverse Head and shoulders
266,2023-06-08 09:55:00,2023-06-08 11:10:00,Double Bottom
267,2023-06-12 10:45:00,2023-06-12 12:35:00,Head and shoulders
268,2023-06-15 10:45:00,2023-06-15 12:35:00,Head and shoulders
269,2023-06-20 12:25:00,2023-06-20 13:45:00,Double Bottom
270,2023-06-22 09:45:00,2023-06-22 11:40:00,Head and shoulders
271,2023-07-03 11:55:00,2023-07-03 13:45:00,Head and shoulders
272,2023-07-04 12:15:00,2023-07-04 13:35:00,Double Bottom
273,2023-07-06 12:15:00,2023-07-06 13:35:00,Double Top
274,2023-07-18 10:50:00,2023-07-18 12:55:00,Reverse Head and shoulders
275,2023-07-27 10:45:00,2023-07-27 12:55:00,Head and shoulders
276,2023-08-09 10:30:00,2023-08-09 12:25:00,Head and shoulders
277,2023-08-16 10:20:00,2023-08-16 12:45:00,Head and shoulders
278,2023-08-24 10:40:00,2023-08-24 11:55:00,Double Top
279,2023-08-25 10:05:00,2023-08-25 11:55:00,Head and shoulders
280,2023-08-28 12:25:00,2023-08-28 14:20:00,Reverse Head and shoulders
281,2023-09-06 12:15:00,2023-09-06 14:05:00,Reverse Head and shoulders
282,2023-09-08 11:55:00,2023-09-08 13:50:00,Head and shoulders
283,2023-09-11 10:15:00,2023-09-11 12:10:00,Reverse Head and shoulders
284,2023-09-12 10:25:00,2023-09-12 12:40:00,Reverse Head and shoulders
285,2023-09-15 11:00:00,2023-09-15 13:05:00,Head and shoulders
286,2023-10-05 12:35:00,2023-10-05 14:35:00,Head and shoulders
287,2023-10-09 12:20:00,2023-10-09 14:10:00,Head and shoulders
288,2023-10-10 13:35:00,2023-10-10 14:50:00,Double Bottom
289,2023-10-11 12:45:00,2023-10-11 14:40:00,Head and shoulders
290,2023-10-12 10:35:00,2023-10-12 12:40:00,Head and shoulders
291,2023-10-13 10:40:00,2023-10-13 12:00:00,Double Top
292,2023-10-18 13:20:00,2023-10-18 14:45:00,Double Top
293,2023-10-26 12:55:00,2023-10-26 14:25:00,Double Bottom
294,2023-10-30 10:00:00,2023-10-30 11:25:00,Double Top
