,start,end,pattern
129,2021-07-06 13:15:00,2021-07-06 14:30:00,Double Bottom
130,2021-07-19 11:40:00,2021-07-19 12:55:00,Double Top
131,2021-07-20 11:25:00,2021-07-20 12:55:00,Double Bottom
132,2021-07-26 12:10:00,2021-07-26 13:30:00,Double Top
133,2021-07-27 11:55:00,2021-07-27 13:50:00,Head and shoulders
134,2021-07-28 13:30:00,2021-07-28 14:45:00,Double Top
135,2021-07-29 13:40:00,2021-07-29 14:55:00,Double Top
136,2021-07-30 11:00:00,2021-07-30 12:10:00,Double Top
137,2021-08-13 10:30:00,2021-08-13 11:50:00,Double Top
138,2021-08-18 13:20:00,2021-08-18 14:40:00,Double Bottom
139,2021-08-23 10:35:00,2021-08-23 12:35:00,Reverse Head and shoulders
140,2021-08-31 12:20:00,2021-08-31 14:30:00,Reverse Head and shoulders
141,2021-09-07 13:00:00,2021-09-07 14:45:00,Head and shoulders
142,2021-09-10 12:35:00,2021-09-10 13:35:00,Double Bottom
143,2021-09-13 12:10:00,2021-09-13 14:15:00,Head and shoulders
144,2021-09-16 11:05:00,2021-09-16 12:30:00,Double Bottom
145,2021-09-20 12:10:00,2021-09-20 14:00:00,Head and shoulders
146,2021-09-29 09:45:00,2021-09-29 10:50:00,Double Bottom
147,2021-09-30 13:30:00,2021-09-30 14:55:00,Double Top
148,2021-10-01 10:40:00,2021-10-01 11:50:00,Double Bottom
149,2021-10-07 10:15:00,2021-10-07 11:30:00,Double Top
150,2021-10-13 10:40:00,2021-10-13 12:05:00,Double Top
151,2021-10-14 10:55:00,2021-10-14 12:50:00,Head and shoulders
152,2021-10-19 13:15:00,2021-10-19 14:40:00,Double Top
153,2021-10-27 10:10:00,2021-10-27 12:05:00,Head and shoulders
154,2021-10-28 10:45:00,2021-10-28 12:35:00,Head and shoulders
155,2021-11-01 11:00:00,2021-11-01 12:10:00,Double Bottom
156,2021-11-02 12:50:00,2021-11-02 14:20:00,Double Top
157,2021-11-03 12:35:00,2021-11-03 14:35:00,Head and shoulders
158,2021-11-04 12:55:00,2021-11-04 14:30:00,Double Top
159,2021-11-09 13:00:00,2021-11-09 14:15:00,Double Top
160,2021-11-12 12:40:00,2021-11-12 14:05:00,Double Top
161,2021-11-15 10:30:00,2021-11-15 12:05:00,Double Top
162,2021-11-25 11:50:00,2021-11-25 13:15:00,Double Top
163,2021-11-29 13:20:00,2021-11-29 14:35:00,Double Bottom
164,2021-12-02 11:50:00,2021-12-02 13:50:00,Head and shoulders
165,2021-12-13 13:05:00,2021-12-13 14:35:00,Double Top
166,2021-12-14 10:00:00,2021-12-14 11:15:00,Double Top
167,2021-12-15 11:20:00,2021-12-15 12:30:00,Double Bottom
168,2021-12-16 10:45:00,2021-12-16 12:55:00,Head and shoulders
169,2021-12-22 10:45:00,2021-12-22 11:55:00,Double Top
170,2021-12-23 10:20:00,2021-12-23 11:45:00,Double Top
171,2021-12-24 12:20:00,2021-12-24 14:35:00,Head and shoulders
172,2021-12-27 13:05:00,2021-12-27 14:40:00,Double Bottom
173,2021-12-29 10:45:00,2021-12-29 11:50:00,Double Top
174,2022-01-10 13:00:00,2022-01-10 14:45:00,Head and shoulders
175,2022-01-13 12:10:00,2022-01-13 14:15:00,Head and shoulders
176,2022-01-14 12:20:00,2022-01-14 13:45:00,Double Top
177,2022-01-17 11:35:00,2022-01-17 13:00:00,Double Top
178,2022-01-28 12:30:00,2022-01-28 14:35:00,Head and shoulders
179,2022-02-01 11:25:00,2022-02-01 12:55:00,Double Top
180,2022-02-02 13:40:00,2022-02-02 14:50:00,Double Bottom
181,2022-02-07 13:05:00,2022-02-07 14:55:00,Head and shoulders
182,2022-02-10 09:45:00,2022-02-10 11:15:00,Double Top
183,2022-02-17 11:50:00,2022-02-17 13:00:00,Double Top
184,2022-02-23 10:20:00,2022-02-23 11:45:00,Double Bottom
185,2022-03-01 10:05:00,2022-03-01 12:15:00,Head and shoulders
186,2022-03-09 13:45:00,2022-03-09 14:55:00,Double Bottom
187,2022-03-11 10:55:00,2022-03-11 12:30:00,Double Top
188,2022-03-17 10:10:00,2022-03-17 11:25:00,Double Top
189,2022-03-30 10:10:00,2022-03-30 12:05:00,Reverse Head and shoulders
190,2022-03-31 10:40:00,2022-03-31 12:50:00,Head and shoulders
191,2022-04-08 12:45:00,2022-04-08 14:30:00,Head and shoulders
192,2022-04-12 12:35:00,2022-04-12 14:00:00,Double Bottom
193,2022-04-15 11:50:00,2022-04-15 13:30:00,Double Top
194,2022-04-19 10:25:00,2022-04-19 12:35:00,Reverse Head and shoulders
