,start,end,pattern
44,2020-06-22 12:45:00,2020-06-22 14:10:00,Double Bottom
45,2020-06-30 11:45:00,2020-06-30 13:55:00,Head and shoulders
46,2020-07-02 10:20:00,2020-07-02 11:35:00,Double Top
47,2020-07-03 10:00:00,2020-07-03 11:20:00,Double Bottom
48,2020-07-06 09:50:00,2020-07-06 11:15:00,Double Top
49,2020-07-07 12:40:00,2020-07-07 14:15:00,Double Top
50,2020-07-09 10:45:00,2020-07-09 13:00:00,Head and shoulders
51,2020-07-14 09:50:00,2020-07-14 11:15:00,Double Top
52,2020-07-20 10:40:00,2020-07-20 12:10:00,Double Bottom
53,2020-07-23 13:25:00,2020-07-23 14:25:00,Double Bottom
54,2020-07-24 12:55:00,2020-07-24 14:00:00,Double Bottom
55,2020-08-07 11:50:00,2020-08-07 13:10:00,Double Top
56,2020-08-13 10:10:00,2020-08-13 12:05:00,Head and shoulders
57,2020-08-24 10:15:00,2020-08-24 12:20:00,Head and shoulders
58,2020-08-26 11:10:00,2020-08-26 13:20:00,Reverse Head and shoulders
59,2020-09-04 11:45:00,2020-09-04 13:50:00,Head and shoulders
60,2020-09-08 13:05:00,2020-09-08 14:30:00,Double Top
61,2020-09-14 10:45:00,2020-09-14 12:40:00,Head and shoulders
62,2020-09-21 11:10:00,2020-09-21 13:10:00,Head and shoulders
63,2020-09-25 12:50:00,2020-09-25 14:10:00,Double Top
64,2020-10-12 11:10:00,2020-10-12 13:10:00,Reverse Head and shoulders
65,2020-10-15 12:35:00,2020-10-15 14:50:00,Reverse Head and shoulders
66,2020-10-27 13:35:00,2020-10-27 14:50:00,Double Top
67,2020-10-29 12:35:00,2020-10-29 14:05:00,Double Top
68,2020-10-30 10:10:00,2020-10-30 12:05:00,Head and shoulders
69,2020-11-05 10:20:00,2020-11-05 11:45:00,Double Top
70,2020-11-11 11:25:00,2020-11-11 12:55:00,Double Top
71,2020-11-13 10:50:00,2020-11-13 13:00:00,Reverse Head and shoulders
72,2020-11-16 11:35:00,2020-11-16 13:40:00,Head and shoulders
73,2020-11-18 10:10:00,2020-11-18 11:45:00,Double Top
74,2020-11-24 12:15:00,2020-11-24 14:20:00,Head and shoulders
75,2020-11-26 12:00:00,2020-11-26 14:10:00,Reverse Head and shoulders
76,2020-11-27 11:10:00,2020-11-27 13:05:00,Reverse Head and shoulders
77,2020-12-04 13:00:00,2020-12-04 14:10:00,Double Top
78,2020-12-15 12:50:00,2020-12-15 14:45:00,Head and shoulders
79,2020-12-17 10:45:00,2020-12-17 12:10:00,Double Bottom
80,2020-12-24 12:30:00,2020-12-24 14:30:00,Head and shoulders
81,2020-12-28 12:55:00,2020-12-28 14:55:00,Head and shoulders
82,2020-12-30 10:15:00,2020-12-30 12:10:00,Head and shoulders
83,2020-12-31 11:20:00,2020-12-31 12:40:00,Double Bottom
84,2021-01-04 10:35:00,2021-01-04 12:30:00,Reverse Head and shoulders
85,2021-01-08 12:05:00,2021-01-08 14:05:00,Reverse Head and shoulders
86,2021-01-22 10:20:00,2021-01-22 11:35:00,Double Top
87,2021-02-02 12:15:00,2021-02-02 13:35:00,Double Top
88,2021-02-12 10:40:00,2021-02-12 12:45:00,Head and shoulders
89,2021-02-16 12:35:00,2021-02-16 13:55:00,Double Bottom
90,2021-02-18 09:55:00,2021-02-18 11:55:00,Head and shoulders
91,2021-02-24 12:20:00,2021-02-24 14:20:00,Head and shoulders
92,2021-02-26 10:45:00,2021-02-26 12:20:00,Double Top
93,2021-03-02 10:00:00,2021-03-02 11:15:00,Double Top
94,2021-03-03 11:35:00,2021-03-03 13:30:00,Head and shoulders
95,2021-03-05 11:50:00,2021-03-05 13:40:00,Reverse Head and shoulders
96,2021-03-08 11:30:00,2021-03-08 13:35:00,Head and shoulders
97,2021-03-11 09:55:00,2021-03-11 11:55:00,Head and shoulders
98,2021-03-12 10:00:00,2021-03-12 11:20:00,Double Bottom
99,2021-03-22 10:15:00,2021-03-22 12:25:00,Head and shoulders
100,2021-03-23 12:05:00,2021-03-23 14:10:00,Reverse Head and shoulders
101,2021-04-02 11:40:00,2021-04-02 13:35:00,Reverse Head and shoulders
102,2021-04-14 12:05:00,2021-04-14 14:00:00,Reverse Head and shoulders
103,2021-04-19 11:25:00,2021-04-19 13:15:00,Head and shoulders
104,2021-04-22 12:35:00,2021-04-22 14:30:00,Head and shoulders
105,2021-05-05 13:05:00,2021-05-05 14:35:00,Double Top
106,2021-05-07 12:00:00,2021-05-07 14:00:00,Head and shoulders
107,2021-05-17 09:55:00,2021-05-17 11:50:00,Head and shoulders
108,2021-05-19 12:05:00,2021-05-19 14:15:00,Head and shoulders
109,2021-05-24 12:15:00,2021-05-24 13:30:00,Double Top
110,2021-05-31 12:50:00,2021-05-31 14:40:00,Reverse Head and shoulders
111,2021-06-08 10:25:00,2021-06-08 12:15:00,Head and shoulders
112,2021-06-16 13:25:00,2021-06-16 14:50:00,Double Top
113,2021-06-21 11:50:00,2021-06-21 13:35:00,Head and shoulders
114,2021-06-29 10:45:00,2021-06-29 12:45:00,Reverse Head and shoulders
115,2021-07-08 10:10:00,2021-07-08 12:05:00,Head and shoulders
116,2021-07-14 11:40:00,2021-07-14 13:45:00,Head and shoulders
117,2021-07-16 12:55:00,2021-07-16 14:55:00,Head and shoulders
118,2021-07-19 11:15:00,2021-07-19 12:30:00,Double Top
119,2021-07-20 10:45:00,2021-07-20 12:45:00,Reverse Head and shoulders
120,2021-07-22 10:55:00,2021-07-22 12:55:00,Head and shoulders
121,2021-07-27 12:35:00,2021-07-27 14:20:00,Head and shoulders
122,2021-08-02 13:05:00,2021-08-02 14:30:00,Double Top
123,2021-08-04 11:50:00,2021-08-04 13:05:00,Double Top
124,2021-08-05 10:35:00,2021-08-05 12:30:00,Head and shoulders
125,2021-08-06 10:35:00,2021-08-06 11:55:00,Double Top
126,2021-08-12 11:45:00,2021-08-12 13:10:00,Double Top
127,2021-08-16 11:25:00,2021-08-16 13:20:00,Head and shoulders
128,2021-08-27 12:40:00,2021-08-27 13:55:00,Double Top
129,2021-09-06 10:40:00,2021-09-06 12:05:00,Double Top
130,2021-09-08 12:55:00,2021-09-08 14:05:00,Double Top
131,2021-09-09 12:05:00,2021-09-09 14:10:00,Reverse Head and shoulders
132,2021-09-10 12:25:00,2021-09-10 14:20:00,Head and shoulders
133,2021-09-22 10:50:00,2021-09-22 12:50:00,Head and shoulders
134,2021-09-28 12:20:00,2021-09-28 14:20:00,Head and shoulders
135,2021-10-06 12:50:00,2021-10-06 14:15:00,Double Top
136,2021-10-07 11:30:00,2021-10-07 13:20:00,Head and shoulders
137,2021-10-15 10:45:00,2021-10-15 12:45:00,Reverse Head and shoulders
138,2021-10-18 11:30:00,2021-10-18 13:20:00,Head and shoulders
139,2021-10-19 12:25:00,2021-10-19 14:20:00,Head and shoulders
140,2021-10-22 10:25:00,2021-10-22 12:30:00,Head and shoulders
141,2021-10-25 10:20:00,2021-10-25 12:25:00,Head and shoulders
142,2021-10-27 11:40:00,2021-10-27 13:35:00,Reverse Head and shoulders
143,2021-11-02 09:40:00,2021-11-02 11:30:00,Reverse Head and shoulders
144,2021-11-03 12:40:00,2021-11-03 14:35:00,Reverse Head and shoulders
145,2021-11-04 11:50:00,2021-11-04 13:05:00,Double Top
146,2021-11-05 12:30:00,2021-11-05 14:40:00,Head and shoulders
147,2021-11-08 10:40:00,2021-11-08 12:10:00,Head and shoulders
148,2021-11-09 11:20:00,2021-11-09 12:40:00,Double Bottom
149,2021-11-10 12:00:00,2021-11-10 13:20:00,Double Top
150,2021-11-12 12:30:00,2021-11-12 13:55:00,Double Top
151,2021-11-16 12:05:00,2021-11-16 13:30:00,Double Bottom
152,2021-11-19 11:45:00,2021-11-19 13:50:00,Head and shoulders
153,2021-11-24 12:45:00,2021-11-24 14:50:00,Reverse Head and shoulders
154,2021-11-25 11:15:00,2021-11-25 13:25:00,Reverse Head and shoulders
155,2021-11-26 11:55:00,2021-11-26 13:20:00,Double Top
156,2021-12-01 11:10:00,2021-12-01 12:25:00,Double Top
157,2021-12-06 11:40:00,2021-12-06 12:55:00,Double Top
158,2021-12-30 10:20:00,2021-12-30 12:25:00,Head and shoulders
159,2022-01-10 13:25:00,2022-01-10 14:50:00,Double Bottom
160,2022-01-24 12:50:00,2022-01-24 14:35:00,Head and shoulders
161,2022-02-02 10:50:00,2022-02-02 12:45:00,Reverse Head and shoulders
162,2022-02-04 10:45:00,2022-02-04 12:35:00,Head and shoulders
163,2022-02-08 11:35:00,2022-02-08 12:45:00,Double Top
164,2022-02-10 11:25:00,2022-02-10 13:25:00,Reverse Head and shoulders
165,2022-02-14 10:45:00,2022-02-14 12:05:00,Double Top
166,2022-02-18 09:55:00,2022-02-18 12:20:00,Head and shoulders
167,2022-02-22 10:40:00,2022-02-22 11:50:00,Double Top
168,2022-02-28 10:35:00,2022-02-28 11:45:00,Double Bottom
169,2022-03-01 12:05:00,2022-03-01 14:10:00,Head and shoulders
170,2022-03-02 11:25:00,2022-03-02 13:15:00,Reverse Head and shoulders
171,2022-03-03 10:00:00,2022-03-03 11:35:00,Double Top
172,2022-03-09 10:15:00,2022-03-09 11:35:00,Double Bottom
173,2022-03-10 11:45:00,2022-03-10 13:45:00,Reverse Head and shoulders
174,2022-03-14 10:45:00,2022-03-14 12:55:00,Reverse Head and shoulders
175,2022-03-15 12:45:00,2022-03-15 14:50:00,Head and shoulders
176,2022-03-16 10:15:00,2022-03-16 12:05:00,Reverse Head and shoulders
177,2022-03-18 10:45:00,2022-03-18 12:10:00,Double Top
178,2022-03-25 12:45:00,2022-03-25 14:50:00,Head and shoulders
179,2022-03-28 09:40:00,2022-03-28 11:30:00,Head and shoulders
180,2022-04-01 10:30:00,2022-04-01 11:40:00,Double Bottom
181,2022-04-08 10:50:00,2022-04-08 12:30:00,Head and shoulders
182,2022-04-11 13:00:00,2022-04-11 14:40:00,Double Top
183,2022-04-13 10:40:00,2022-04-13 11:55:00,Double Bottom
184,2022-04-19 09:50:00,2022-04-19 12:00:00,Head and shoulders
